ID,Type,Compound_1,Compound_2,Compound_3,T_K,P_kPa,x_1,x_2,y_1,y_2
6,Isobaric,Acetone,Chloroform,Benzene,339.48,101.325,0.342,0.215,0.503,0.184
6,Isobaric,Acetone,Chloroform,Benzene,339.45,101.325,0.343,0.276,0.484,0.243
6,Isobaric,Acetone,Chloroform,Benzene,338.68,101.325,0.377,0.411,0.471,0.375
6,Isobaric,Acetone,Chloroform,Benzene,338.6,101.325,0.384,0.387,0.486,0.347
6,Isobaric,Acetone,Chloroform,Benzene,337.49,101.325,0.44,0.144,0.616,0.105
6,Isobaric,Acetone,Chloroform,Benzene,337.64,101.325,0.448,0.267,0.588,0.211
6,Isobaric,Acetone,Chloroform,Benzene,335.88,101.325,0.578,0.336,0.682,0.255
6,Isobaric,Acetone,Chloroform,Benzene,335.44,101.325,0.608,0.318,0.713,0.232
6,Isobaric,Acetone,Chloroform,Benzene,334.9,101.325,0.642,0.289,0.747,0.203
6,Isobaric,Acetone,Chloroform,Benzene,333.44,101.325,0.684,0.091,0.803,0.052
6,Isobaric,Acetone,Chloroform,Benzene,332.48,101.325,0.768,0.117,0.858,0.066
6,Isobaric,Acetone,Chloroform,Benzene,330.85,101.325,0.878,0.053,0.929,0.026
7,Isobaric,Benzene,Cyclohexane,Hexane,350.6,101.325,0.861,0.066,0.806,0.067
7,Isobaric,Benzene,Cyclohexane,Hexane,349.2,101.325,0.806,0.067,0.732,0.068
7,Isobaric,Benzene,Cyclohexane,Hexane,347.7,101.325,0.732,0.068,0.637,0.07
7,Isobaric,Benzene,Cyclohexane,Hexane,346.3,101.325,0.637,0.07,0.544,0.071
7,Isobaric,Benzene,Cyclohexane,Hexane,345.1,101.325,0.544,0.071,0.461,0.067
7,Isobaric,Benzene,Cyclohexane,Hexane,344.2,101.325,0.461,0.067,0.409,0.052
7,Isobaric,Benzene,Cyclohexane,Hexane,345.3,101.325,0.512,0.11,0.443,0.096
7,Isobaric,Benzene,Cyclohexane,Hexane,344.4,101.325,0.443,0.096,0.395,0.079
7,Isobaric,Benzene,Cyclohexane,Hexane,343.85,101.325,0.395,0.079,0.342,0.064
7,Isobaric,Benzene,Cyclohexane,Hexane,343.4,101.325,0.342,0.064,0.304,0.053
7,Isobaric,Benzene,Cyclohexane,Hexane,343,101.325,0.304,0.053,0.279,0.037
